SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	June 28, 2024	June 27, 2024	June 26, 2024	June 25, 2024	June 24, 2024
Chinese yuan		0.1046170000	0.1047010000	0.1045610000	0.1045690000
Euro		0.8133770000	0.8132390000	0.8136250000	0.8147940000
Japanese yen		0.0047329900	0.0047634500	0.0047611500	0.0047516500
U.K. pound		0.9620830000	0.9629310000	0.9634940000	0.9616550000
U.S. dollar		0.7604500000	0.7608190000	0.7594040000	0.7593610000
Algerian dinar		0.0056493100	0.0056532700	0.0056500500	0.0056495700
Australian dollar		0.5069160000	0.5086840000	0.5060670000	0.5042920000
Botswana pula		0.0558931000	0.0559202000	0.0561200000	0.0561168000
Brazilian real		0.1377050000	0.1381020000	0.1398970000	0.1406380000
Brunei dollar		0.5603910000	0.5615310000	0.5616890000	0.5604550000
Canadian dollar			0.5555050000	0.5559730000	0.5557790000
Chilean peso		0.0008023490	0.0008073980	0.0008064010	0.0008101230
Czech koruna		0.0326387000	0.0326588000	0.0327838000	0.0327367000
Danish krone		0.1090560000	0.1090260000	0.1090740000	0.1092320000
Indian rupee		0.0091083200	0.0091071400	0.0091025600	0.0090926400
Israeli New Shekel		0.2025170000	0.2027770000	0.2038670000	0.2039100000
Korean won		0.0005470470	0.0005487730	0.0005464520	0.0005466570
Kuwaiti dinar		2.4798600000	2.4818800000	2.4780700000	2.4759100000
Malaysian ringgit		0.1611460000	0.1615330000	0.1613010000	0.1611380000
Mauritian rupee		0.0160272000	0.0160904000	0.0160324000	0.0160470000
Mexican peso		0.0413799000	0.0417539000	0.0418700000	0.0422743000
New Zealand dollar		0.4623160000	0.4652790000	0.4649070000	0.4639320000
Norwegian krone		0.0713615000	0.0713714000	0.0718337000	0.0717943000
Omani rial		1.9777600000	1.9787200000	1.9750400000	1.9749300000
Peruvian sol			0.1996380000	0.1994760000	0.2000950000
Philippine peso		0.0129275000	0.0129521000	0.0129126000	0.0129066000
Polish zloty		0.1886410000	0.1888310000	0.1899700000	0.1883380000
Qatari riyal		0.2089150000	0.2090160000	0.2086270000	0.2086160000
Russian ruble		0.0089502600	0.0086647300	0.0087010800	0.0086910300
Saudi Arabian riyal		0.2027870000	0.2028850000	0.2025080000	0.2024960000
Singapore dollar		0.5603910000	0.5615310000	0.5616890000	0.5604550000
South African rand		0.0415170000	0.0416369000	0.0418598000	0.0420080000
Swedish krona		0.0717391000	0.0719439000	0.0724801000	0.0723908000
Swiss franc		0.8477700000	0.8473320000	0.8500160000	0.8501580000
Thai baht		0.0205939000	0.0206829000	0.0207436000	0.0206764000
Trinidadian dollar			0.1124040000	0.1122600000	0.1122530000
U.A.E. dirham			0.2071670000	0.2067810000	0.2067700000
Uruguayan peso			0.0192315000	0.0193306000	0.0193182000

Currency units per SDR(3)

Currency	June 28, 2024	June 27, 2024	June 26, 2024	June 25, 2024	June 24, 2024
Chinese yuan		9.558680	9.551010	9.563800	9.563060
Euro		1.229440	1.229650	1.229070	1.227300
Japanese yen		211.283000	209.932000	210.033000	210.453000
U.K. pound		1.039410	1.038500	1.037890	1.039870
U.S. dollar		1.315010	1.314370	1.316820	1.316900
Algerian dinar		177.013000	176.889000	176.990000	177.005000
Australian dollar		1.972710	1.965860	1.976020	1.982980
Botswana pula		17.891300	17.882600	17.819000	17.820000
Brazilian real		7.261900	7.241020	7.148120	7.110450
Brunei dollar		1.784470	1.780850	1.780340	1.784260
Canadian dollar			1.800160	1.798650	1.799280
Chilean peso		1,246.340000	1,238.550000	1,240.080000	1,234.380000
Czech koruna		30.638500	30.619600	30.502900	30.546800
Danish krone		9.169600	9.172120	9.168090	9.154830
Indian rupee		109.790000	109.804000	109.859000	109.979000
Israeli New Shekel		4.937860	4.931530	4.905160	4.904120
Korean won		1,828.000000	1,822.250000	1,829.990000	1,829.300000
Kuwaiti dinar		0.403249	0.402920	0.403540	0.403892
Malaysian ringgit		6.205550	6.190690	6.199590	6.205860
Mauritian rupee		62.393900	62.148900	62.373700	62.316900
Mexican peso		24.166300	23.949900	23.883400	23.655000
New Zealand dollar		2.163020	2.149250	2.150970	2.155490
Norwegian krone		14.013200	14.011200	13.921000	13.928700
Omani rial		0.505623	0.505377	0.506319	0.506347
Peruvian sol			5.009070	5.013130	4.997630
Philippine peso		77.354500	77.207600	77.443700	77.479700
Polish zloty		5.301070	5.295740	5.263990	5.309600
Qatari riyal		4.786640	4.784320	4.793240	4.793500
Russian ruble		111.729000	115.410000	114.928000	115.061000
Saudi Arabian riyal		4.931280	4.928900	4.938080	4.938370
Singapore dollar		1.784470	1.780850	1.780340	1.784260
South African rand		24.086500	24.017200	23.889300	23.805000
Swedish krona		13.939400	13.899700	13.796900	13.813900
Swiss franc		1.179570	1.180170	1.176450	1.176250
Thai baht		48.558100	48.349100	48.207600	48.364300
Trinidadian dollar			8.896480	8.907890	8.908450
U.A.E. dirham			4.827020	4.836030	4.836290
Uruguayan peso			51.998000	51.731500	51.764700


(1) Exchange rates are published daily except on IMF holidays or, whenever the IMF is closed for business, or on an ad-hoc basis to facilitate unscheduled IMF operations.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
